Grid,LatPhoto,SiteGroup,Final_FIG
400.04,2966,Other,No
400.04,2969,Other,No
400.04,2971,Other,No
400.04,2972,Other,No
200.04,3059,S200,No
200.04,3060,S200,No
200.04,3064,S200,No
200.04,3068,S200,No
200.04,3070,S200,No
200.04,3072,S200,No
200.04,3073,S200,Yes
200.04,3078,S200,No
200.04,3079,S200,Yes
200.04,3093,S200,No
200.04,3096,S200,No
200.04,3098,S200,No
200.04,3099,S200,No
200.04,3100,S200,Yes
200.04,3101,S200,No
200.04,3103,S200,Yes
200.04,3106,S200,No
200.04,3107,S200,No
200.04,3109,S200,Yes
200.04,3110,S200,Yes
200.04,3112,S200,No
200.04,3113,S200,No
200.04,3115,S200,No
200.04,3121,S200,Yes
200.04,3122,S200,Yes
200.04,3124,S200,No
200.04,3127,S200,No
200.04,3128,S200,No
200.04,3129,S200,No
200.04,3131,S200,No
200.04,3135,S200,No
200,3272,S200,Yes
200,3290,S200,No
200,3295,S200,Yes
200,3296,S200,No
200,3302,S200,No
200,3309,S200,Yes
200,3311,S200,Yes
200,3313,S200,No
200,3314,S200,Yes
200,3326,S200,No
200,3327,S200,Yes
200,3332,S200,Yes
0.1,3591,Other,No
0.1,3607,Other,No
0.1,3608,Other,No
0.1,3610,Other,No
0.1,3622,Other,No
0.1,3628,Other,No
0.1,3630,Other,No
0.1,3634,Other,No
0.1,3636,Other,No
0.1,3642,Other,No
-100.1,3728,Other,No
-100.1,3730,Other,No
-100.1,3759,Other,No
-100.1,3765,Other,No
-100.1,3771,Other,No
-100.1,3783,Other,No
-100.1,3784,Other,No
-100.1,3787,Other,No
-100.1,3789,Other,No
-100.1,3791,Other,No
-100.1,3792,Other,No
-100.1,3794,Other,No
616.04,4095,Other,No
616.04,4097,Other,No
616.04,4099,Other,No
616.04,4102,Other,No
616.04,4104,Other,No
616.04,4118,Other,No
616.04,4120,Other,No
616.04,4123,Other,No
616.04,4127,Other,No
