Sample,Station,Cryo,Station,Group,Animals,Wet_Weight,Protein,CS,CS_animal,CS_weight,CS_protein
1,15,LC1,15,Others,2,5.268,0.139,10.657,5.3285,2.022968869,76.66906475
2,15,LC9,15,Others,3,10.11,0.2,23.384,7.794666667,2.312957468,116.92
3,15,LC10,15,Others,2,5.179,0.122,11.471,5.7355,2.214906353,94.02459016
4,45,LC19,45,200.xxx,2,7.139,0.319,23.31,11.655,3.265163188,73.07210031
5,45,LC19,45,200.xxx,3,13.648,0.742,56.518,18.83933333,4.141119578,76.16981132
6,45,LC24,45,200.xxx,2,6.744,0.424,36.047,18.0235,5.34504745,85.01650943
7,45,LC24,45,200.xxx,3,10.346,0.478,37.165,12.38833333,3.59220955,77.75104603
8,59,LC 26,59,Others,2,6.847,0.446,43.4,21.7,6.338542427,97.30941704
9,59,LC 26,59,Others,3,12.16,0.499,56.103,18.701,4.613733553,112.4308617
10,59,LC28,59,Others,2,8.447,0.491,48.71,24.355,5.766544335,99.20570265
11,59,LC28,59,Others,3,11.96,0.57,58.202,19.40066667,4.86638796,102.1087719
12,62,LC34,62,200.xxx,2,8.512,0.342,29.233,14.6165,3.434328008,85.47660819
13,62,LC34,62,200.xxx,3,12.387,0.676,68.7925,22.93083333,5.553604585,101.7640533
14,62,LC36,62,200.xxx,2,8.626,0.462,44.0895,22.04475,5.11123348,95.43181818
15,62,LC36,62,200.xxx,3,11.213,0.666,54.7165,18.23883333,4.879737804,82.15690691
16,77,LC59,77,Others,2,6.29,0.117,10.574,5.287,1.681081081,90.37606838
17,77,LC59,77,Others,3,7.273,0.185,17.0525,5.684166667,2.344630826,92.17567568
18,77,LC61,77,Others,3,9.14,0.235,17.7955,5.931833333,1.946991247,75.72553191
19,77,LC61,77,Others,2,5.191,0.142,13.2855,6.64275,2.559333462,93.55985915
20,81,LC79,81,Others,3,11.011,0.357,26.983,8.994333333,2.450549451,75.58263305
21,81,LC79,81,Others,2,4.905,0.088,7.6905,3.84525,1.567889908,87.39204545
22,81,LC81,81,Others,2,7.551,0.211,13.624,6.812,1.804264336,64.56872038
23,81,LC81,81,Others,3,10.004,0.245,16.9825,5.660833333,1.697570972,69.31632653
24,100,LC104,100,Others,2,7.419,0.251,19.0415,9.52075,2.566585793,75.8625498
25,100,LC104,100,Others,2,8.049,0.24,16.028,8.014,1.991303267,66.78333333
26,100,LC105,100,Others,2,9.105,0.315,21.134,10.567,2.32114223,67.09206349
27,100,LC105,100,Others,3,11.616,0.355,33.415,11.13833333,2.876635675,94.12676056
28,117,LC118,117,Others,2,8.194,0.295,32.237,16.1185,3.934220161,109.2779661
29,117,LC118,117,Others,3,11.306,0.246,21.134,7.044666667,1.869272952,85.91056911
