Sample,Station,Grid,Cryo,Animals,Wet_Weight,Protein,CS,CorrCS,CS_animal,CS_weight,CS_protein
1,71,100.180,LC53,3,20.486,1.05,56.03566667,56.03566667,18.67855556,2.735315175,53.36730159
2,71,100.180,LC54,3,20.863,1.478,82.24766667,82.24766667,27.41588889,3.942274202,55.64794768
3,75,000.100,LC55,3,19.04,1.076,60.35933333,60.35933333,20.11977778,3.170133053,56.09603469
4,75,000.100,LC56,3,23.07,1.182,69.47766667,69.47766667,23.15922222,3.01160237,58.77975184
5,75,000.100,LC57,3,21.627,1.183,74.53333333,74.53333333,24.84444444,3.446309397,63.003663
6,81,-100.100,LC75,3,18.968,0.995,73.86133333,73.86133333,24.62044444,3.893996907,74.23249581
7,81,-100.100,LC76,3,18.56,1.089,64.70533333,64.70533333,21.56844444,3.486278736,59.41720232
8,81,-100.100,LC77,3,19.849,1.069,68.80566667,68.80566667,22.93522222,3.466455069,64.36451513
9,95,-100.160,LC92,3,17.959,0.971,51.25466667,51.25466667,17.08488889,2.853982219,52.78544456
10,95,-100.160,LC93,3,20.15,1.109,67.03333333,67.03333333,22.34444444,3.326716294,60.4448452
11,95,-100.160,LC94,3,20.06,1.029,61.03566667,61.03566667,20.34522222,3.042655367,59.31551669
