"","File","Group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","Station"
"1","S1_rep1","S1",-6.15610987924913,92.8818595633261,-30.8044780108791,22.9171538625365,-25.2706044983962,-23.425846871205,36.7848635408927,-41.4181687261287,34.5437628299089,-6.56496935342366,5.63614181459867,-36.7260305420628,6.29336091526286,-16.4643470465105,4.51930539154288,-3.41721740964793e-13," 000.100"
"2","S1_rep2","S1",15.9816256009889,74.9983381218602,-6.25403954124368,29.2958884039463,26.0495863435977,5.50231871862777,-50.2312528848643,46.6018558693262,-43.4475691045228,44.0506588785566,6.86986548287298,-0.614254979628026,2.56906021164979,17.6767821533138,3.53718116809509,5.19366721938447e-16," 000.100"
"3","S1_rep3","S1",-9.31212976414165,28.5053842795378,42.2475009276454,37.5720600365455,18.8334615522592,20.9889452905456,22.6348359377118,-24.4543288720895,-14.74975307688,-43.7899440581318,-37.0375978471896,71.3784132383672,4.55457021991891,12.7183418992103,1.46385223637351,2.77368555098682e-13," 000.100"
"4","S1_rep4","S1",-24.620571445368,19.6358896456432,102.305868183625,-42.3214949290559,-38.2149882800391,17.4176846895039,12.2916609164157,30.4139235811108,19.6791797902121,6.78776870042098,26.3962409904246,-15.2202244533245,-1.32122129882953,7.97110884336401,-2.33134333610001,-1.16799026505209e-13," 000.100"
"5","S2_rep1","S2",-36.952968905301,-30.6898016258296,30.0901503555432,22.5754704469397,43.4974111239657,-22.6727458496591,-11.1487458772704,7.22310984269988,21.6440186497862,19.5995432495183,-71.8704558473622,-43.7164120024173,-3.46551704162433,-25.9751380520576,-8.79333958972548,1.56716568839926e-13," 200.000"
"6","S2_rep2","S2",-44.6689494102244,-42.8170529142524,4.3141338695281,44.9504279209677,35.1919417586388,-21.622535789519,-1.34603842704186,-31.7842032400315,25.7406109929905,28.5595912421202,64.4458533096327,11.8215766754026,-6.81236402108253,34.3736401167551,4.9406158991781,1.13164706284138e-13," 200.000"
"7","S2_rep3","S2",-48.9207402939273,-9.45447026501962,-52.6774351294402,-26.9371269906027,17.4018543036693,-17.1871072563755,54.3568077049276,69.6768789217736,0.237021159351262,-15.5260682527168,2.04231487696818,14.4821570257244,33.5638331837084,7.13193531757541,2.57204636877242,6.37152162356446e-13," 200.000"
"8","S2_rep4","S2",-54.0639580299367,-22.1833208693532,-42.3183453363517,19.2728645926104,-75.4421590955263,49.797637121583,-45.0639021226328,2.79677269577887,20.2362153320642,8.54368706129333,-18.3903644571848,17.1617190835778,-1.8750521508198,-4.19389838689015,3.29238257960198,-5.89540894400942e-14," 200.000"
"9","S3_rep1","S3",-19.4916071084924,-1.53265540373237,-15.2130707917123,-27.811405936212,-6.50500635777849,-31.2572522870727,0.990466461740413,-0.0248658576199936,-36.1231102461315,-23.7842877025611,-0.0556372606182901,-1.82950830681002,-93.7470812701297,-1.04566580526982,14.7427807319887,1.6326329665365e-14," 100.180"
"10","S3_rep2","S3",-16.9537184721779,-15.483949754564,4.48909371491119,-42.6486466530789,-21.201214691723,-44.7731463613492,-29.6541127908846,-48.133281215117,-56.5955433980534,-8.69860099468576,-6.84634953811159,-12.1281732048031,53.0234576887423,17.7298951024194,-0.400602122484589,-1.21634663062184e-13," 100.180"
"11","S3_rep3","S3",76.0949427475716,-48.4677542524445,11.3026732269935,57.5063952750591,-53.7441811914291,-28.2473725432776,38.9698496708843,21.4765116373102,-23.6583442192787,16.4575465352362,-2.51576213421067,-3.5398422881441,2.88485943197024,-5.03449733498433,5.59769374357402,-2.1492607227367e-13," 100.180"
"12","S3_rep4","S3",61.5260929001744,-0.936538397360037,-4.7635040406863,-17.688578454107,4.97824088645728,-45.2362526314557,-55.6732453426134,19.6429133258859,61.9177037527571,-41.8562589316576,4.88582017051565,23.3689159943009,3.45420763686103,1.07343120868503,-8.49931562876153,-4.66856018480863e-13," 100.180"
"13","S4_rep1","S4",46.6705466248397,-7.52875020417843,-13.3016277313078,-54.2420343128244,19.2388001102234,28.2739936300931,17.358236548424,-25.0331324756211,21.4486209084298,50.5109629113108,-22.2659737242589,16.198261215881,-0.193691316390616,8.21784611329664,56.7296280109562,-2.99868447130661e-13,"-100.100"
"14","S4_rep2","S4",29.1243938527246,-3.64292729522889,-21.8497913758685,-28.0942065362593,6.77713290398993,26.4419349666025,20.5046014113502,-18.2699447553679,-0.498216017282649,25.5248738959687,-5.81155240328908,3.58098109914464,-14.8946349505244,18.2762181839699,-85.7370626832755,-2.45944384920805e-14,"-100.100"
"15","S4_rep3","S4",28.1431682912106,-22.643428727051,-9.80924774164565,13.1883862771141,26.1650504030239,65.3952670622836,-4.01892076033118,0.0321314080006076,-9.80296734176777,-59.3369931606298,14.0279754038289,-60.6363240970763,5.73585322762011,23.2590222181847,13.1997212949128,1.14190205685247e-14,"-100.100"
"16","S4_rep4","S4",3.59998329130905,-10.640821901354,2.24211942088931,-7.53515300357951,22.244674729069,20.6044781106753,-6.75510398670533,-8.74617213991089,-20.5716300115837,-0.477510020617913,40.4894811633824,16.4187455418693,10.2303595336682,-95.7146745310622,-4.83354406464802,-8.91928539489481e-14,"-100.100"
