label,Species_long,Species_short,Foreground,Group
Acartia_fossae,Acartia fossae,A. fossae,FALSE,Back
Acartia_tonsa,Acartia tonsa,A. tonsa,FALSE,Back
Apocyclops_royi,Apocyclops royi,A. royi,FALSE,Back
Calanoides_acutus,Calanoides acutus,Calanoides acutus,TRUE,WE
Calanus_finmarchicus,Calanus finmarchicus,Calanus finmarchicus,TRUE,WE
Calanus_glacialis,Calanus glacialis,Calanus glacialis,TRUE,WE
Calanus_helgolandicus,Calanus helgolandicus,Calanus helgolandicus,TRUE,WE
Calanus_marshallae,Calanus marshallae,Calanus marshallae,TRUE,WE
Calanus_propinquus,Calanus propinquus,Calanus propinquus,TRUE,TAG
Calanus_sinicus,Calanus sinicus,Calanus sinicus,TRUE,WE
Caligus_rogercresseyi,Caligus rogercresseyi,Caligus rogercresseyi,FALSE,Back
Eucalanus_bungii,Eucalanus bungii,Eucalanus bungii,TRUE,TAG
Eucyclops_serrulatus,Eucyclops serrulatus,E. serrulatus,FALSE,Back
Eurytemora_affinis,Eurytemora affinis,Eurytemora affinis,FALSE,Back
Hemidiaptemus_amplyodon,Hemidiaptemus amplyodon,Hemidiaptemus amplyodon,FALSE,Back
Labidocera_madurae,Labidocera madurae,Labidocera madurae,FALSE,Back
Lepeoptheirus_salmonis,Lepeoptheirus salmonis,Lepeoptheirus salmonis,FALSE,Back
Lernaea_cyprinacea,Lernaea cyprinacea,L.  cyprinacea,FALSE,Back
Metridia_lucens,Metridia lucens,Metridia lucens,FALSE,Back
Metridia_pacifica,Metridia pacifica,Metridia pacifica,FALSE,Back
Mytilicola_intestinalis,Mytilicola intestinalis,Mytilicola intestinalis,FALSE,Back
Neocalanus_cristatus,Neocalanus cristatus,Neocalanus cristatus,TRUE,WE
Neocalanus_flemingeri,Neocalanus flemingeri,Neocalanus flemingeri,TRUE,WE
Neocalanus_plumchrus,Neocalanus plumchrus,Neocalanus plumchrus,TRUE,WE
Oithona_nana,Oithona nana,Oithona nana,FALSE,Back
Oithona_similis,Oithona similis,O.  similis,FALSE,Back
Paracyclopina_nana,Paracyclopina nana,Paracyclopina nana,FALSE,Back
Platychelipus_littoralis,Platychelipus littoralis,Platychelipus littoralis,FALSE,Back
Pleuromamma_robusta,Pleuromamma robusta,Pleuromamma robusta,FALSE,Back
Pleuromamma_xiphias,Pleuromamma xiphias,Pleuromamma xiphias,FALSE,Back
Pseudocalanus_acuspes,Pseudocalanus acuspes,Pseudocalanus acuspes,FALSE,Back
Pseudodiaptemus_annandalei,Pseudodiaptemus annandalei,Pseudodiaptemus annandalei,FALSE,Back
Rhincalanus_gigas,Rhincalanus gigas,Rhincalanus gigas,TRUE,WE
Temora_longicornis,Temora longicornis,Temora longicornis,FALSE,Back
Temora_stylifera,Temora stylifera,Temora stylifera,FALSE,Back
Tigriopus_californicus,Tigriopus californicus,Tigriopus californicus,FALSE,Back
Tigriopus_japonicus,Tigriopus japonicus,Tigriopus japonicus,FALSE,Back
Tigriopus_kingsejongensis,Tigriopus kingsejongensis,Tigriopus kingsejongensis,FALSE,Back
Tisbe_furcata,Tisbe furcata,Tisbe furcata,FALSE,Back
Tisbe_holothuriae,Tisbe holothuriae,Tisbe holothuriae,FALSE,Back
Tracheliastes_polycolpus,Tracheliastes polycolpus,Tracheliastes polycolpus,FALSE,Back
