Sample,Station,Time,Group,Cryo,Animals,Wet_Weight,Protein,CS,CorrCS,CS_animal,CS_weight,CS_protein,pr/weight
3,75,0,Fed,LC55,3,19.04,1.076,60.35933333,60.35933333,20.11977778,3.170133053,56.09603469,0.056512605
4,75,0,Fed,LC56,3,23.07,1.182,69.47766667,69.47766667,23.15922222,3.01160237,58.77975184,0.051235371
5,75,0,Fed,LC57,3,21.627,1.183,74.53333333,74.53333333,24.84444444,3.446309397,63.003663,0.054700143
12,"Expt 4, Bucket 2",5,Fed,LC96,3,21.877,0.975,54.759,54.759,18.253,2.503039722,56.16307692,0.044567354
13,"Expt 4, Bucket 10",5,Fed,LC99,2,12.293,0.637,36.049,36.049,18.0245,2.9324819,56.59183673,0.051818108
14,"Expt 4, Bucket 10",5,Fed,LC99,2,14.092,0.823,41.34366667,41.34366667,20.67183333,2.933839531,50.23531795,0.05840193
15,"Expt 4, Bucket 6",5,Unfed,LC100,3,18.814,0.863,53.73433333,53.73433333,17.91144444,2.85608235,62.26458092,0.045870097
16,"Expt 4, Bucket 6",5,Unfed,LC101,3,18.855,0.941,40.542,40.542,13.514,2.150198886,43.08395324,0.049907186
17,"Expt 4, Bucket 1",5,Unfed,LC102,3,17.267,1.147,51.65633333,51.65633333,17.21877778,2.991621783,45.03603603,0.066427289
18,"Expt 5, Bucket 2",9,Fed,LC111,3,16.894,1.048,61.13866667,61.13866667,20.37955556,3.618957421,58.3384224,0.062033858
19,"Expt 5, Bucket 10",9,Fed,LC113,2,11.176,0.738,39.00866667,39.00866667,19.50433333,3.490396087,52.85727191,0.066034359
20,"Expt 5, Bucket 10",9,Fed,LC113,2,12.73,0.549,20.605,41.21,20.605,3.237234878,37.53187614,0.043126473
21,"Expt 5, Bucket 1",9,Unfed,LC114,3,16.725,0.871,45.02,45.02,15.00666667,2.691778774,51.68771527,0.052077728
22,"Expt 5, Bucket 6",9,Unfed,LC116,3,18.758,0.966,48.319,48.319,16.10633333,2.575914277,50.01966874,0.051498028
23,"Expt 5, Bucket 6",9,Unfed,LC117,2,11.368,0.651,29.826,29.826,14.913,2.623680507,45.8156682,0.05726601
