ID,Wet_weight,n,Species,Sample,Group,Fed,Day,WE,Unknown_Neutral_Lipid,TAG,FFA,ST,Polar_Lipids,Total
Cp1,11.942,2,Calanus propinquus,LC58,Field,NA,NA,0.00,0.00,9.18,9.16,4.12,79.40,101.87
Cp2,10.672,2,Calanus propinquus,LC58,Field,NA,NA,2.43,0.00,4.34,11.29,2.60,79.25,99.90
Cp3,14.772,3,Calanus propinquus,LC74,Field,NA,NA,2.91,0.00,31.84,16.19,4.66,111.23,166.83
Cp4,21.769,4,Calanus propinquus,LC78,Field,NA,NA,9.81,0.00,14.81,16.60,7.52,121.33,170.07
Cp5,20.285,4,Calanus propinquus,LC97,F4,Fed,Early,1.79,0,3.9,14.93,6.09,107.1,133.82
Cp6,17.22,3,Calanus propinquus,LC98,F4,Fed,Early,5.51,0,2.05,17.08,4.43,93.61,122.68
Cp7,18.161,3,Calanus propinquus,LC103,S4,Starved,Early,0.00,0.00,17.31,25.81,7.40,93.21,143.72
Cp9,18.9,3,Calanus propinquus,LC112,F9,Fed,Late,2.93,0,3.44,9.87,4.32,81.58,102.15
Cp11,16.087,3,Calanus propinquus,LC115,S9,Starved,Late,0.00,0.00,15.05,12.85,3.99,68.34,100.23
Ca2,18.62,5,Calanoides acutus,LC20,Field,NA,NA,558.16,0,23.26,10.82,4.45,97.93,694.62
Ca3,17.616,5,Calanoides acutus,LC22,Field,NA,NA,754.29,0,17.65,12.54,2.78,94.32,881.58
Ca5,20.322,5,Calanoides acutus,LC25,Field,NA,NA,802.36,0,24.34,10.82,3.71,102,943.21
Ca7,19.168,5,Calanoides acutus,LC35,Field,NA,NA,828.91,0,14.9,20.53,3.02,112.01,979.38
Ca9,19.632,5,Calanoides acutus,LC35,Field,NA,NA,628.95,0,21.88,17.95,3,110.39,782.18
Ca10,20.404,5,Calanoides acutus,LC35,Field,NA,NA,1048.55,0,23.71,14.85,3.82,118.12,1209.05
Ca11,11.027,4,Calanoides acutus,LC60,Field,NA,NA,49.63,0,1.12,17.81,0.78,28.12,97.47
Ca12,9.705,4,Calanoides acutus,LC60-64,Field,NA,NA,82.2,0,2.83,8.85,0.69,22.98,117.55
Ca13,8.71,4,Calanoides acutus,LC62,Field,NA,NA,22.3,0,1,15.56,0.64,19.29,58.78
Ca14,11.586,4,Calanoides acutus,LC63,Field,NA,NA,114.81,0,8.49,16.72,1.15,28.91,170.08
Ca15,12.202,4,Calanoides acutus,LC64,Field,NA,NA,11.06,0,1.08,8.3,0.53,16.23,37.19
Ca16,12.209,4,Calanoides acutus,LC80,Field,NA,NA,73.17,0,4.49,22.37,1.17,38.01,139.21
Ca17,14.381,4,Calanoides acutus,LC82,Field,NA,NA,295.9,0,5.26,25.13,1.21,47.32,374.81
Ca18,14.312,4,Calanoides acutus,LC83,Field,NA,NA,181.81,0,7.92,21.95,1.32,39.69,252.68
Ca19,14.763,4,Calanoides acutus,LC80-84,Field,NA,NA,136.5,0,3.52,8.64,0.86,19.52,169.05
Ca20,18.557,5,Calanoides acutus,LC84,Field,NA,NA,69.83,0,1.72,5.63,1.08,27.13,105.39
Ca21,16.223,4,Calanoides acutus,LC84,Field,NA,NA,332.02,0,4.87,7.74,1.44,28.93,374.98
Ca22,17.045,5,Calanoides acutus,LC42,F4,Fed,Early,469.71,0,16.28,7.23,3.2,66.68,563.1
Ca23,17.838,5,Calanoides acutus,LC45,F4,Fed,Early,610.22,0,14.28,8.91,2.52,78.3,714.24
Ca24,20.164,5,Calanoides acutus,LC46,F4,Fed,Early,525.51,0,19.73,20,2.81,87,655.07
Ca25,8.881,3,Calanoides acutus,LC47,F4,Fed,Early,246.19,0,17,15.26,2.49,52.53,333.47
Ca26,8.959,3,Calanoides acutus,LC50,S4,Starved,Early,315.72,0,16.72,19.8,2.31,32.62,387.16
Ca27,13.645,4,Calanoides acutus,LC50,S4,Starved,Early,133.99,0,6.75,11,1.37,38.47,191.58
Ca28,6.254,2,Calanoides acutus,LC50,S4,Starved,Early,141.12,0,4.42,2.75,0.58,7.23,156.09
Ca29,20.789,5,Calanoides acutus,LC65,S9,Starved,Late,367.5,0,10.66,5.4,1.97,58.15,443.67
Ca30,16.666,4,Calanoides acutus,LC89,F9,Fed,Late,702.77,0,10.81,7.26,1.96,54.18,776.97
Ca31,16.41,4,Calanoides acutus,LC90,F9,Fed,Late,692.73,0,15.88,4.67,1.64,46.01,760.93
